省份,代码_x,年份,基层医疗卫生机构数/个,专业公共卫生机构/个,医疗卫生机构数量/个,医疗卫生机构床位数/张,执业医师数/人,注册护士数/人,卫生人员数/万人,医疗卫生机构事业收入/亿元,人均卫生费用/元,诊疗人次数/万人次,入院人数/万人,城乡居民医疗保健支出占消费性支出,代码_y,甲乙类法定报告传染病发病率（1/10w）,甲乙类法定报告传染病死亡率（1/10w）,人口死亡率‰,人口平均预期寿命（岁）,孕产妇死亡率‰,新生儿访视率%,3岁以下儿童系统管理率%,7岁以下儿童健康保健管理率%,围产婴儿死亡率‰,5岁以下儿童低体重患病率%,出院人数（万人）,年末常住人口,卫生总费用,政府卫生支出（亿元）,卫生总费用占GDP比重（%）,农村每万人医疗机构床位数,城市每万人医疗机构床位数,基层医疗卫生机构床位数,每万人拥有农村卫生技术人员数,每万人拥有城市卫生技术人员数,人均GDP_元每人,城镇化率,65岁及以上人口占比,教育水平_每十万人高等学校在校生数,财政支出能力_元每人,每千人床位数,每千人医师数,每千人护士数,每千人诊疗人次,每千人出院人数,城乡床位差,城乡床位比,城乡卫技人员差,城乡卫技人员比,总抚养比（%）,少年儿童抚养比（%）,老年人口抚养比（%）,区域,基层机构占比,基层床位占比,每千老年人床位数,每千老年人医师数,每千老年人护士数,每千老年人诊疗人次,每千老年人出院人数,老龄化压力_基础项,老龄化压力_扩展项,资源保障_基层承接项,资源保障_均衡项
湖北,12,2012,34063,438,35240,252991,90105,115745,38.64,678.65002,1892.99,30579.119,862.0800199999999,7.4499998,12,264.73999,0.76999998,6.12,75.379997,6.119999900000001,95.099998,89.5,90.400002,4.96,1.1900001,867.4,5781,1093.96,305.89,4.92,28.57,70.31,6.83,33.0,79.0,39721,0.532260854523439,0.107613181525955,3078,6503.701781698671,4.376249783774433,1.558640373637779,2.00216225566511,5289.589863345442,150.0432451133022,41.74,2.460973048652433,46.0,2.393939393939394,33.06,18.74,14.32,中部,0.9666004540295119,0.269970077986964,4066.648454881835,1448.37310033609,1860.5176682581516,4915373.552142082,139428.31443665994,0.107613181525955,14.32,0.269970077986964,46.0
湖南,13,2012,57177,528,58612,287013,86469,112906,40.35,662.23999,1620.26,22899.939,1053.42,6.3899999,13,242.28999,1.24,7.01,75.230003,7.0100002,92.800003,78.800003,81.199997,5.9400001,2.02,1047.58,6590,1075.69,338.82,4.86,31.17,79.01,8.61,31.0,86.0,32668,0.4622154779969651,0.111058959454092,2087,6250.37936267071,4.355280728376328,1.312124430955994,1.713292867981791,3474.952807283763,158.9650986342944,47.84,2.534809111324992,55.0,2.774193548387097,42.35,26.54,15.81,中部,0.9755169589845083,0.2999864117653207,3921.5933138439436,1181.466526794159,1542.6876646453798,3128926.1346989213,143135.77167991133,0.111058959454092,15.81,0.2999864117653207,55.0
甘肃,4,2012,25631,335,26401,112296,34896,37202,15.19,177.08,1725.36,11920.56,292.89999,8.1700001,4,306.39999,0.44,6.05,72.57,6.0500002,95.099998,91.199997,90.0,8.510000199999999,1.1900001,290.92,2550,444.72,168.88,7.87,31.44,64.7,3.19,31.0,64.0,21439,0.387843137254902,0.0923885246663877,2145,8076.705882352941,4.403764705882353,1.368470588235294,1.458901960784314,4674.729411764706,114.0862745098039,33.26000000000001,2.057888040712468,33.0,2.064516129032258,38.17,28.48,9.69,西部,0.9708344380894663,0.2840706703711619,4766.571088546138,1481.2127298025398,1579.0943367180794,5059859.358773202,123485.32993871928,0.0923885246663877,9.69,0.2840706703711619,33.0
福建,3,2012,26374,307,27276,139341,57885,71124,23.68,429.32001,1809.51,19203.119,510.16,4.7199998,3,287.07001,0.47999999,5.73,76.269997,5.73,93.0,91.300003,94.5,6.0300002,1.1900001,509.81,3841,678.21,222.81,3.44,29.6,65.29,2.99,33.0,95.0,53799,0.593074720124967,0.0859207623189333,2301,6788.59671960427,3.627727154386879,1.507029419422026,1.85170528508201,4999.510283780265,132.7284561312158,35.69,2.205743243243243,62.0,2.878787878787879,33.89,22.39,11.5,东部,0.9669306349904678,0.21458149431969056,4222.177569748449,1753.9758479190548,2155.1313502184476,5818745.258826207,154477.74501643138,0.0859207623189333,11.5,0.21458149431969056,62.0
西藏,27,2012,6412,142,6660,8352,2897,1732,2.16,10.0,2079.51,1012.37,14.55,3.73,27,230.95,1.38,5.21,68.970001,5.21,59.299999,49.5,53.200001,24.040001,5.21,14.4,315,63.97,43.49,9.13,24.49,63.91,0.26,25.0,104.0,23112,0.228571428571429,0.0541488118426178,1508,28740.9523809524,2.651428571428571,0.9196825396825397,0.5498412698412698,3213.873015873016,45.71428571428572,39.42,2.609636586361781,79.0,4.16,30.44,18.34,12.1,西部,0.9627627627627627,0.3113026819923372,4896.559095580681,1698.4353088957419,1015.4262875413963,5935260.454493553,84423.43268242557,0.0541488118426178,12.1,0.3113026819923372,79.0
贵州,7,2012,26264,340,27404,139211,39528,48646,19.11,256.95999,1378.38,11515.13,563.3200099999999,5.5700002,7,257.48001,2.0899999,6.96,72.559998,6.96,93.400002,79.599998,78.800003,4.8600001,1.27,562.06,3587,480.23,242.62,7.01,27.39,69.57,3.78,23.0,79.0,19188,0.362977418455534,0.0915689174778989,1392,7682.40869807639,3.88098689712852,1.101979369947031,1.356175076665737,3210.23975466964,156.6936158349596,42.17999999999999,2.539978094194961,56.0,3.434782608695652,47.33,33.84,13.49,西部,0.9584002335425486,0.2715302670047625,4238.3234442683415,1203.4426094564294,1481.0430373309412,3505818.1783621768,171120.96566258871,0.0915689174778989,13.49,0.2715302670047625,56.0
辽宁,17,2012,34249,497,35792,230962,89892,98036,32.97,569.08002,2305.6799,17525.5,550.44,8.369999900000002,17,230.88,0.50999999,6.54,76.839996,6.54,96.800003,95.0,95.699997,7.9899998,0.82999998,549.44,4375,1011.96,233.02,4.07,33.78,79.67,3.65,34.0,87.0,41416,0.656457142857143,0.0993692143851888,2811,10419.6342857143,5.279131428571429,2.054674285714286,2.240822857142857,4005.828571428571,125.5862857142857,45.89,2.358496151568976,53.0,2.558823529411764,25.5,13.03,12.47,东北,0.9568898077782745,0.15803465505148034,5312.642815216113,2067.717148039101,2255.047371569898,4031257.1617006254,126383.49461783067,0.0993692143851888,12.47,0.15803465505148034,53.0
重庆,31,2012,17310,167,17961,130813,38790,49823,18.41,333.75,2110.5,13304.98,449.73999,7.320000200000001,31,245.58,1.89,6.86,76.269997,6.860000099999999,90.199997,85.599998,87.199997,4.71,0.85000002,448.17,2975,621.54,195.56,5.45,37.15,40.86,4.11,34.0,44.0,39864,0.566386554621849,0.129044072762788,2734,10239.8655462185,4.397075630252101,1.303865546218487,1.67472268907563,4472.26218487395,150.6453781512605,3.710000000000001,1.099865410497981,10.0,1.294117647058824,41.5,23.24,18.26,西部,0.9637548020711542,0.3141889567550626,3407.4216165936687,1010.4032818425412,1297.7912531900215,3465685.8615234285,116739.47894389581,0.129044072762788,18.26,0.3141889567550626,10.0
陕西,23,2012,34889,387,36271,169230,56957,79390,29.38,366.31,2292.8799,16052.35,497.92001,8.9399996,23,225.39,0.52999997,6.24,75.300003,6.2399998,97.199997,95.199997,95.5,5.5999999,0.89999998,496.65,3787,860.52,257.49,5.95,32.72,63.71,3.37,41.0,84.0,37901,0.497227356746765,0.0927670445473415,3525,8776.86823343016,4.468708740427779,1.504013731185635,2.096382360707684,4238.803802482175,131.1460258780037,30.99,1.947127139364303,43.0,2.048780487804878,34.75,22.3,12.45,西部,0.9618979349893855,0.1991372688057673,4817.129576815695,1621.2802062677513,2259.835236680246,4569299.176410649,141371.35285265706,0.0927670445473415,12.45,0.1991372688057673,43.0
青海,20,2012,5658,145,5948,26018,10162,10026,4.08,54.939999,2485.95,2134.0701,75.959999,7.5,20,464.44,0.74000001,6.06,70.760002,6.0599999,89.0,85.400002,80.699997,8.930000300000001,2.3299999,74.42,571,142.49,61.72,7.52,28.58,,0.51,31.0,,27181,0.478108581436077,0.0700543705562526,1133,20298.5989492119,4.556567425569177,1.77968476357268,1.755866900175131,3737.425744308231,130.3327495621716,,,,,38.88,29.68,9.2,西部,0.9512441156691325,0.19601814128680145,6504.329978827404,2540.4335938521067,2506.4344825783514,5335035.793815511,186045.1368377029,0.0700543705562526,9.2,0.19601814128680145,
