省份,年份,区域,老龄化压力指数,资源保障指数,方向性错配指数,绝对错配指数,错配类型,65岁及以上人口占比,老年人口抚养比（%）,每千人床位数,每千人医师数,每千人护士数,基层床位占比,城乡卫技人员差,每千老年人床位数,每千老年人医师数,每千老年人护士数
重庆,2016,西部,1.1420586313619308,0.6245201852536305,0.5175384461083002,0.5175384461083002,高压力—高保障,0.139671361502347,19.79,6.136655948553054,1.6551125401929259,2.490771704180064,0.2635577678805345,35.0,4393.6393850144705,1185.0049447431745,1783.3088167743035
陕西,2016,西部,0.6331934389994577,0.5822718406004953,0.050921598398962375,0.050921598398962375,低压力—高保障,0.10742175298307001,13.62,5.818275684047497,1.8478316985028391,3.0150490449148166,0.16104702750665484,54.0,5416.291879880674,1720.1652804847292,2806.73975353018
青海,2016,西部,0.26929439903825264,0.5823023983911584,-0.31300799935290574,0.31300799935290574,低压力—高保障,0.0721876879887708,10.65,5.970618556701031,2.020103092783505,2.4680412371134017,0.14964459408903855,161.0,8270.965206185567,2798.40392325315,3418.9226804123714
黑龙江,2016,东北,0.7909015288947361,0.606701295985997,0.1842002329087391,0.1842002329087391,高压力—高保障,0.119376294158248,15.3,6.354432572913659,2.0815477909327167,2.466589662142651,0.13633017350286747,55.0,5323.027170277271,1743.686052252023,2066.23071987214
上海,2017,东部,1.1102732508755349,0.6737416796652449,0.43653157121028996,0.43653157121028996,高压力—高保障,0.142590537677797,18.82,5.458515815085159,2.603244120032441,3.4038523925385236,0.12183616008082787,54.0,3828.105219309452,1825.6780305540547,2387.1516637590626
云南,2017,西部,0.3869952334560671,0.5715718967889842,-0.1845766633329171,0.1845766633329171,低压力—低保障,0.0840111813442796,11.56,5.855721287023226,1.65974856168762,2.738397613466866,0.20232234024358736,100.0,6970.1689624222245,1975.6281665483732,3259.5632743751758
内蒙古,2017,西部,0.6752485300325457,0.7216743516101863,-0.046425821577640636,0.046425821577640636,低压力—高保障,0.10839848433977699,14.33,6.178586107685986,2.4849568434032063,2.953801890669955,0.1782803924829536,79.0,5699.882378723207,2292.4276649607605,2724.9475937423717
北京,2017,东部,0.876746917743048,0.9190335745522203,-0.04228665680917232,0.04228665680917232,高压力—高保障,0.124992977922589,16.32,5.498860528714676,4.053509571558797,4.715542388331813,0.0364706369928302,,4399.335562770772,3242.989837452491,3772.645845154803
吉林,2017,东北,0.8513582666371273,0.6638265225070064,0.18753174413012097,0.18753174413012097,高压力—高保障,0.12196753478415999,16.18,6.083016627078385,2.4469517022961202,2.658313539192399,0.1412236344585668,33.0,4987.406392892341,2006.231991674154,2179.5255138153657
四川,2017,西部,1.1418341415709212,0.7198387688607047,0.4219953727102165,0.4219953727102165,高压力—高保障,0.139296593741346,19.83,6.7978646398841835,1.962950898781518,2.7572445409578963,0.2473934069834509,40.0,4880.137020799556,1409.1880110338084,1979.405574035577
天津,2017,东部,0.7143377704314161,0.6079126289669672,0.10642514146444892,0.10642514146444892,低压力—低保障,0.112850211300673,14.57,4.851702127659576,2.7407801418439717,2.709574468085107,0.10671110526392726,18.0,4299.240623247854,2428.688533459243,2401.0362380854026
宁夏,2017,西部,0.33294999702208694,0.594128425209435,-0.26117842818734804,0.26117842818734804,低压力—低保障,0.0845921450151057,10.43,5.64822695035461,2.299007092198582,3.0592907801418434,0.09291813159216472,60.0,6677.01114488349,2717.754812563325,3616.518743667681
安徽,2017,中部,1.0502909671696539,0.49500887924097303,0.5552820879286808,0.5552820879286808,高压力—低保障,0.12995083046188402,19.14,5.047812448406802,1.612679544328876,2.280650487039789,0.21259476820628886,41.0,3884.401839115127,1240.9921033955166,1755.0103211604553
山东,2017,东部,1.0212265925033976,0.678557409323696,0.34266918317970163,0.34266918317970163,高压力—高保障,0.129354439892366,18.64,5.828884680554173,2.2690022924349647,2.9268115219774735,0.19938031367345405,63.0,4506.13421959409,1754.0969558702195,2262.629349570709
山西,2017,中部,0.44078098880732525,0.6616166989363927,-0.2208357101290675,0.2208357101290675,低压力—高保障,0.089885433715221,11.92,5.6274928774928785,2.321282051282051,2.7592307692307694,0.19491203645108213,89.0,6260.739526853872,2582.48968196164,3069.7195921340112
广东,2017,东部,0.2818063906705217,0.4086315209695932,-0.1268251302990715,0.1268251302990715,低压力—低保障,0.0774678531798699,10.27,4.052911621777448,1.751560826950004,2.534091096285314,0.139209533719191,75.0,5231.7334938495505,2261.016350721784,3271.151829135495
